repseq	OTUS	domain	phylum	class	order	family	genus
1000|1000	OTU_551	acteria	Verrucomicrobia	unclassified_Verrucomicrobia	unclassified_Verrucomicrobia	unclassified_Verrucomicrobia	unclassified_Verrucomicrobia
1000|1001	OTU_3608	unclassified_Root	unclassified_Root	unclassified_Root	unclassified_Root	unclassified_Root	unclassified_Root
1000|1016	OTU_554	acteria	acteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Flavobacterium
1000|1105	OTU_549	acteria	Verrucomicrobia	unclassified_Verrucomicrobia	unclassified_Verrucomicrobia	unclassified_Verrucomicrobia	unclassified_Verrucomicrobia
1000|1204	OTU_543	acteria	Actinobacteria	Actinobacteria	Actinomycetales	Microbacteriaceae	Rhodoluna
1000|1280	OTU_566	acteria	Proteobacteria	etaproteobacteria	urkholderiales	unclassified_urkholderiales	unclassified_urkholderiales
1000|1299	OTU_570	acteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	unclassified_Rhodobacteraceae
1000|1316	OTU_536	acteria	Acidobacteria	Acidobacteria_Gp1	unclassified_Acidobacteria_Gp1	unclassified_Acidobacteria_Gp1	Terriglobus
1000|1346	OTU_553	acteria	acteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	unclassified_Flavobacteriaceae
1000|1357	OTU_3305	acteria	Firmicutes	acilli	acillales	Paenibacillaceae 1	Paenibacillus
1000|1384	OTU_560	acteria	acteroidetes	Sphingobacteriia	Sphingobacteriales	Chitinophagaceae	Niabella
1000|1398	OTU_559	acteria	acteroidetes	Cytophagia	Cytophagales	Cytophagaceae	Pontibacter
1000|1401	OTU_535	acteria	acteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Chryseobacterium
1000|1406	OTU_3542	acteria	unclassified_acteria	unclassified_acteria	unclassified_acteria	unclassified_acteria	unclassified_acteria
1000|1420	OTU_539	acteria	Actinobacteria	Actinobacteria	Actinomycetales	Nocardioidaceae	Marmoricola
1000|1431	OTU_547	acteria	Proteobacteria	unclassified_Proteobacteria	unclassified_Proteobacteria	unclassified_Proteobacteria	unclassified_Proteobacteria
