	domain	phylum	class	order	family	genus
OTU_0	Bacteria	Parcubacteria	unclassified_Parcubacteria	unclassified_Parcubacteria	unclassified_Parcubacteria	Parcubacteria_genera_incertae_sedis
OTU_1	Bacteria	"Proteobacteria"	Gammaproteobacteria	Oceanospirillales	Halomonadaceae	Kushneria
OTU_2	Bacteria	"Bacteroidetes"	unclassified_"Bacteroidetes"	unclassified_"Bacteroidetes"	unclassified_"Bacteroidetes"	unclassified_"Bacteroidetes"
OTU_3	Bacteria	Firmicutes	Bacilli	Lactobacillales	Carnobacteriaceae	Dolosigranulum
OTU_4	Bacteria	"Actinobacteria"	Actinobacteria	Actinomycetales	Corynebacteriaceae	Turicella
OTU_5	Bacteria	"Proteobacteria"	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Psychrobacter
OTU_6	Bacteria	"Proteobacteria"	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Brevundimonas
OTU_7	Bacteria	"Actinobacteria"	Actinobacteria	Actinomycetales	Geodermatophilaceae	Blastococcus
OTU_8	Bacteria	Firmicutes	Bacilli	Bacillales	unclassified_Bacillales	unclassified_Bacillales
OTU_9	Bacteria	"Actinobacteria"	Actinobacteria	Actinomycetales	Microbacteriaceae	Clavibacter
OTU_10	Bacteria	"Proteobacteria"	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	unclassified_Acetobacteraceae
OTU_11	Bacteria	"Bacteroidetes"	Cytophagia	Cytophagales	Cytophagaceae	Rudanella
OTU_12	Bacteria	"Verrucomicrobia"	Opitutae	Puniceicoccales	Puniceicoccaceae	Cerasicoccus
OTU_13	Bacteria	"Bacteroidetes"	Flavobacteriia	"Flavobacteriales"	Flavobacteriaceae	Flavobacterium
OTU_14	Bacteria	"Proteobacteria"	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingorhabdus
OTU_15	Bacteria	unclassified_Bacteria	unclassified_Bacteria	unclassified_Bacteria	unclassified_Bacteria	unclassified_Bacteria
OTU_16	Bacteria	Cyanobacteria/Chloroplast	Chloroplast	unclassified_Chloroplast	Chloroplast	Streptophyta
OTU_17	Bacteria	"Deinococcus-Thermus"	Deinococci	Deinococcales	Deinococcaceae	Deinococcus
OTU_18	Bacteria	"Verrucomicrobia"	unclassified_"Verrucomicrobia"	unclassified_"Verrucomicrobia"	unclassified_"Verrucomicrobia"	unclassified_"Verrucomicrobia"
OTU_19	unclassified_Root	unclassified_Root	unclassified_Root	unclassified_Root	unclassified_Root	unclassified_Root
OTU_20	Bacteria	"Bacteroidetes"	Flavobacteriia	"Flavobacteriales"	Flavobacteriaceae	Flavobacterium
OTU_21	Bacteria	"Proteobacteria"	Alphaproteobacteria	unclassified_Alphaproteobacteria	unclassified_Alphaproteobacteria	unclassified_Alphaproteobacteria
OTU_22	Bacteria	"Actinobacteria"	Actinobacteria	Actinomycetales	Microbacteriaceae	Rhodoluna
OTU_23	Bacteria	"Verrucomicrobia"	unclassified_"Verrucomicrobia"	unclassified_"Verrucomicrobia"	unclassified_"Verrucomicrobia"	unclassified_"Verrucomicrobia"
OTU_24	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Clostridium IV
OTU_25	Bacteria	unclassified_Bacteria	unclassified_Bacteria	unclassified_Bacteria	unclassified_Bacteria	unclassified_Bacteria
OTU_26	Bacteria	"Proteobacteria"	Deltaproteobacteria	Bdellovibrionales	Bdellovibrionaceae	Bdellovibrio
OTU_27	Bacteria	"Bacteroidetes"	"Bacteroidia"	"Bacteroidales"	"Porphyromonadaceae"	unclassified_"Porphyromonadaceae"
OTU_28	Bacteria	"Proteobacteria"	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	unclassified_Caulobacteraceae
OTU_29	Archaea	Woesearchaeota	unclassified_Woesearchaeota	unclassified_Woesearchaeota	unclassified_Woesearchaeota	unclassified_Woesearchaeota
OTU_30	Bacteria	"Proteobacteria"	unclassified_"Proteobacteria"	unclassified_"Proteobacteria"	unclassified_"Proteobacteria"	unclassified_"Proteobacteria"
OTU_31	Bacteria	"Proteobacteria"	Deltaproteobacteria	Myxococcales	Polyangiaceae	unclassified_Polyangiaceae
OTU_32	Bacteria	Firmicutes	Bacilli	Bacillales	Paenibacillaceae 1	Paenibacillus
OTU_33	Bacteria	Candidatus Saccharibacteria	unclassified_Candidatus Saccharibacteria	unclassified_Candidatus Saccharibacteria	unclassified_Candidatus Saccharibacteria	Saccharibacteria_genera_incertae_sedis
OTU_34	Bacteria	"Bacteroidetes"	"Bacteroidia"	"Bacteroidales"	unclassified_"Bacteroidales"	unclassified_"Bacteroidales"
OTU_35	Bacteria	unclassified_Bacteria	unclassified_Bacteria	unclassified_Bacteria	unclassified_Bacteria	unclassified_Bacteria
OTU_36	Bacteria	"Actinobacteria"	Actinobacteria	Actinomycetales	Nocardioidaceae	Marmoricola
OTU_37	Bacteria	unclassified_Bacteria	unclassified_Bacteria	unclassified_Bacteria	unclassified_Bacteria	unclassified_Bacteria
OTU_38	Bacteria	unclassified_Bacteria	unclassified_Bacteria	unclassified_Bacteria	unclassified_Bacteria	unclassified_Bacteria
OTU_39	Bacteria	unclassified_Bacteria	unclassified_Bacteria	unclassified_Bacteria	unclassified_Bacteria	unclassified_Bacteria
OTU_40	Bacteria	"Actinobacteria"	Actinobacteria	Actinomycetales	Nocardioidaceae	Marmoricola
OTU_41	Bacteria	"Proteobacteria"	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	unclassified_Pseudomonadaceae
OTU_42	Bacteria	Firmicutes	Bacilli	Bacillales	Paenibacillaceae 1	Saccharibacillus
OTU_43	Bacteria	"Bacteroidetes"	Cytophagia	Cytophagales	Cytophagaceae	Hymenobacter
OTU_44	Bacteria	unclassified_Bacteria	unclassified_Bacteria	unclassified_Bacteria	unclassified_Bacteria	unclassified_Bacteria
OTU_45	Bacteria	unclassified_Bacteria	unclassified_Bacteria	unclassified_Bacteria	unclassified_Bacteria	unclassified_Bacteria
OTU_46	Bacteria	"Proteobacteria"	Alphaproteobacteria	unclassified_Alphaproteobacteria	unclassified_Alphaproteobacteria	unclassified_Alphaproteobacteria
OTU_47	Bacteria	"Acidobacteria"	Acidobacteria_Gp1	unclassified_Acidobacteria_Gp1	unclassified_Acidobacteria_Gp1	Terriglobus
OTU_48	Bacteria	Cyanobacteria/Chloroplast	Chloroplast	unclassified_Chloroplast	Chloroplast	Streptophyta
OTU_49	Bacteria	"Proteobacteria"	Betaproteobacteria	Burkholderiales	unclassified_Burkholderiales	unclassified_Burkholderiales
OTU_50	Bacteria	"Proteobacteria"	Gammaproteobacteria	Legionellales	Legionellaceae	Legionella
OTU_51	Bacteria	"Bacteroidetes"	Flavobacteriia	"Flavobacteriales"	Flavobacteriaceae	unclassified_Flavobacteriaceae
OTU_52	Bacteria	"Bacteroidetes"	Flavobacteriia	"Flavobacteriales"	Flavobacteriaceae	Chryseobacterium
OTU_53	Bacteria	"Bacteroidetes"	Cytophagia	Cytophagales	Cytophagaceae	Pontibacter
OTU_54	Bacteria	"Bacteroidetes"	Sphingobacteriia	"Sphingobacteriales"	Chitinophagaceae	Niabella
OTU_55	Bacteria	"Verrucomicrobia"	Subdivision3	unclassified_Subdivision3	unclassified_Subdivision3	Subdivision3_genera_incertae_sedis
OTU_56	Bacteria	unclassified_Bacteria	unclassified_Bacteria	unclassified_Bacteria	unclassified_Bacteria	unclassified_Bacteria
OTU_57	Bacteria	unclassified_Bacteria	unclassified_Bacteria	unclassified_Bacteria	unclassified_Bacteria	unclassified_Bacteria
OTU_58	Bacteria	"Proteobacteria"	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas
OTU_59	Bacteria	"Bacteroidetes"	Cytophagia	Cytophagales	Cytophagaceae	Hymenobacter
OTU_60	Bacteria	"Verrucomicrobia"	Spartobacteria	unclassified_Spartobacteria	unclassified_Spartobacteria	Spartobacteria_genera_incertae_sedis
OTU_61	Bacteria	"Bacteroidetes"	Flavobacteriia	"Flavobacteriales"	Flavobacteriaceae	Flavobacterium
OTU_62	Bacteria	Cyanobacteria/Chloroplast	Chloroplast	unclassified_Chloroplast	Chloroplast	Streptophyta
OTU_63	Bacteria	unclassified_Bacteria	unclassified_Bacteria	unclassified_Bacteria	unclassified_Bacteria	unclassified_Bacteria
OTU_64	Bacteria	unclassified_Bacteria	unclassified_Bacteria	unclassified_Bacteria	unclassified_Bacteria	unclassified_Bacteria
