repseq	OTUS	domain	phylum	class	order	family	genus
1000|1000	OTU_645	Bacteria	Verrucomicrobia	unclassified_Verrucomicrobia	unclassified_Verrucomicrobia	unclassified_Verrucomicrobia	unclassified_Verrucomicrobia
1000|1001	OTU_5574	unclassified_Root	unclassified_Root	unclassified_Root	unclassified_Root	unclassified_Root	unclassified_Root
1000|1016	OTU_649	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Flavobacterium
1000|1105	OTU_643	Bacteria	Verrucomicrobia	unclassified_Verrucomicrobia	unclassified_Verrucomicrobia	unclassified_Verrucomicrobia	unclassified_Verrucomicrobia
1000|1204	OTU_636	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Microbacteriaceae	Rhodoluna
1000|1278	OTU_620	Bacteria	Cyanobacteria/Chloroplast	Chloroplast	unclassified_Chloroplast	Chloroplast	Streptophyta
1000|1280	OTU_663	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	unclassified_Burkholderiales	unclassified_Burkholderiales
1000|1283	OTU_664	Bacteria	Proteobacteria	Gammaproteobacteria	Legionellales	Legionellaceae	Legionella
1000|1299	OTU_669	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	unclassified_Rhodobacteraceae
1000|1316	OTU_628	Bacteria	Acidobacteria	Acidobacteria_Gp1	unclassified_Acidobacteria_Gp1	unclassified_Acidobacteria_Gp1	Terriglobus
1000|1346	OTU_648	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	unclassified_Flavobacteriaceae
1000|1357	OTU_5026	Bacteria	Firmicutes	Bacilli	Bacillales	Paenibacillaceae 1	Paenibacillus
1000|1384	OTU_655	Bacteria	Bacteroidetes	Sphingobacteriia	Sphingobacteriales	Chitinophagaceae	Niabella
1000|1398	OTU_654	Bacteria	Bacteroidetes	Cytophagia	Cytophagales	Cytophagaceae	Pontibacter
1000|1401	OTU_627	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Chryseobacterium
1000|1406	OTU_5437	Bacteria	unclassified_Bacteria	unclassified_Bacteria	unclassified_Bacteria	unclassified_Bacteria	unclassified_Bacteria
