repseq	OTUS	domain	phylum	class	order	family	genus	species
881	Y_OTU_206	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	Fusarium merismoides
631	Y_OTU_166	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Pezoloma	unclassified_Pezoloma
1019	Y_OTU_38	Fungi	Ascomycota	Pezizomycotina_Incertae sedis	Pezizomycotina_Incertae sedis	Pezizomycotina_Incertae sedis	Knufia	Sarcinomyces petricola
1584	Y_OTU_51	Fungi	Ascomycota	unclassified_Ascomycota	unclassified_Ascomycota	unclassified_Ascomycota	unclassified_Ascomycota	unclassified_Ascomycota
2038	Y_OTU_237	Fungi	Ascomycota	Leotiomycetes	Helotiales	Sclerotiniaceae	unclassified_Sclerotiniaceae	unclassified_Sclerotiniaceae
2040	Y_OTU_259	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Trichocomaceae	Penicillium	Penicillium citrinum
2403	Y_OTU_52	Fungi	Basidiomycota	Agaricomycetes	Thelephorales	Thelephoraceae	Tomentella	Tomentella ellisii
2771	Y_OTU_282	Fungi	Basidiomycota	unclassified_Basidiomycota	unclassified_Basidiomycota	unclassified_Basidiomycota	unclassified_Basidiomycota	unclassified_Basidiomycota
2900	Y_OTU_258	Fungi	Basidiomycota	Cystobasidiomycetes	Erythrobasidiales	Erythrobasidiales_Incertae sedis	Bannoa	Bannoa hahajimensis
3441	Y_OTU_301	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Tremellales_Incertae sedis	unclassified_Tremellales_Incertae sedis	unclassified_Tremellales_Incertae sedis
4449	Y_OTU_50	Fungi	Basidiomycota	Tremellomycetes	Cystofilobasidiales	Cystofilobasidiaceae	Udeniomyces	Udeniomyces pyricola
7093	Y_OTU_184	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Mycosphaerellaceae	Davidiella	unclassified_Davidiella
7099	Y_OTU_126	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Trichocomaceae	Eupenicillium	unclassified_Eupenicillium
989	Y_OTU_172	Fungi	Basidiomycota	Wallemiomycetes	Wallemiales	Wallemiaceae	Wallemia	Wallemia sebi
1195	Y_OTU_55	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	unclassified_Fusarium
199	Y_OTU_179	Fungi	Ascomycota	Pezizomycotina_Incertae sedis	Pezizomycotina_Incertae sedis	Pezizomycotina_Incertae sedis	Chalara	unclassified_Chalara
2329	Y_OTU_78	Fungi	Basidiomycota	Agaricomycetes	Polyporales	Phanerochaetaceae	Phanerochaete	Phanerochaete sordida
252	Y_OTU_300	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Tremellaceae	Cryptococcus	Cryptococcus luteolus
2513	Y_OTU_8	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Drechslera	Drechslera nobleae
3139	Y_OTU_137	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Trichocomaceae	Penicillium	Penicillium brevicompactum
3450	Y_OTU_193	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Mycosphaerellaceae	Davidiella	Cladosporium colombiae
474	Y_OTU_111	Fungi	Ascomycota	unclassified_Ascomycota	unclassified_Ascomycota	unclassified_Ascomycota	unclassified_Ascomycota	unclassified_Ascomycota
478	Y_OTU_201	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Tremellaceae	Cryptococcus	Cryptococcus albidosimilis
508	Y_OTU_104	Fungi	Ascomycota	unclassified_Ascomycota	unclassified_Ascomycota	unclassified_Ascomycota	unclassified_Ascomycota	unclassified_Ascomycota
517	Y_OTU_269	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Tremellaceae	Cryptococcus	Cryptococcus magnus
640	Y_OTU_106	Fungi	Basidiomycota	Agaricomycetes	Polyporales	Polyporaceae	Trametes	Trametes versicolor
674	Y_OTU_252	Fungi	Ascomycota	unclassified_Ascomycota	unclassified_Ascomycota	unclassified_Ascomycota	unclassified_Ascomycota	unclassified_Ascomycota
3478	Y_OTU_228	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	unclassified_Nectriaceae	unclassified_Nectriaceae
2012	Y_OTU_233	Fungi	Basidiomycota	unclassified_Basidiomycota	unclassified_Basidiomycota	unclassified_Basidiomycota	unclassified_Basidiomycota	unclassified_Basidiomycota
3018	Y_OTU_167	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Hypocreales_Incertae sedis	Emericellopsis	Acremonium exuviarum
3384	Y_OTU_112	Fungi	Ascomycota	unclassified_Ascomycota	unclassified_Ascomycota	unclassified_Ascomycota	unclassified_Ascomycota	unclassified_Ascomycota
330	Y_OTU_226	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Schizophyllaceae	Schizophyllum	Schizophyllum commune
82	Y_OTU_53	Fungi	Basidiomycota	Agaricomycetes	Thelephorales	Thelephoraceae	Tomentella	Tomentella ellisii
2094	Y_OTU_94	Fungi	Ascomycota	Sordariomycetes	Sordariomycetidae_Incertae sedis	Plectosphaerellaceae	Plectosporium	Plectosporium alismatis
2299	Y_OTU_266	Fungi	Ascomycota	Sordariomycetes	Sordariomycetidae_Incertae sedis	Plectosphaerellaceae	Plectosphaerella	Plectosphaerella cucumerina
3652	Y_OTU_56	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Gibberella	Fusarium equiseti
