repseq	Y_OTUS	domain	phylum	class	order	family	genus	species
1000|116	Y_OTU_18530	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	Fusarium delphinoides
1000|116	Y_OTU_5245	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	Fusarium delphinoides
1000|122	Y_OTU_18623	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Gibberella	Fusarium equiseti
1000|122	Y_OTU_5080	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Gibberella	Fusarium equiseti
1000|131	Y_OTU_18731	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Gibberella	Fusarium equiseti
1000|131	Y_OTU_5007	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Gibberella	Fusarium equiseti
1000|135	Y_OTU_18635	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Gibberella	Fusarium equiseti
1000|17	Y_OTU_18716	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Gibberella	Fusarium equiseti
1000|207	Y_OTU_5201	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Gibberella	Fusarium equiseti
1000|207	Y_OTU_18638	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Gibberella	Fusarium equiseti
1000|21	Y_OTU_238	Fungi	Basidiomycota	Agaricomycetes	Boletales	Rhizopogonaceae	Rhizopogon	Rhizopogon rogersii
1000|211	Y_OTU_18520	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Gibberella	Fusarium equiseti
1000|211	Y_OTU_31598	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Gibberella	Fusarium equiseti
1000|233	Y_OTU_18535	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Gibberella	Fusarium equiseti
1000|241	Y_OTU_5255	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	Fusarium delphinoides
1000|241	Y_OTU_5121	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	Fusarium delphinoides
1000|243	Y_OTU_18728	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Gibberella	Fusarium equiseti
1000|273	Y_OTU_32027	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Tremellales_Incertae sedis	unclassified_Tremellales_Incertae sedis	unclassified_Tremellales_Incertae sedis
1000|279	Y_OTU_4971	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Gibberella	Fusarium equiseti
1000|284	Y_OTU_5173	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	Fusarium delphinoides
1000|298	Y_OTU_32034	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	Fusarium delphinoides
1000|298	Y_OTU_5027	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	Fusarium delphinoides
1000|298	Y_OTU_5074	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	Fusarium delphinoides
1000|306	Y_OTU_5068	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	Fusarium delphinoides
1000|317	Y_OTU_5211	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	Fusarium delphinoides
1000|317	Y_OTU_5014	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	Fusarium delphinoides
